"","","","","2015-16 ","2016-17 ","2017-18 ","2018-19 ","2019-20 ","2020-21 "
"","Denbighshire ","Denbighshire - Nursery ","5189994 - Unallocated resources - nursery ",".",".",".",".",".","."
"","","Denbighshire - Primary ","",7973.5,8081.5,8126.5,8159,7958.041667,7790.5
"","","Denbighshire - Primary ","5182011 - Ysgol Hiraddug ",212,202,207,202.5,200.5,199
"","","","5182034 - Bodnant Infants School ",".",".",".",".",".","."
"","","","5182037 - Ysgol Y Castell ",198,193.5,194,197.5,202,206.5
"","","","5182038 - Christchurch C.P. School ",401,406.5,419,418.5,419,424.5
"","","","5182039 - Ysgol Llywelyn ",573,585,617.5,644,664,665.5
"","","","5182057 - Ysgol Y Faenol ",143,143.5,141.5,143.5,142,140.5
"","","","5182059 - Ysgol Penmorfa ",419,422.5,427.5,428.5,430.5,430.5
"","","","5182060 - Ysgol Emmanuel ",424,429.5,430,430.5,430,427
"","","","5182066 - Ysgol Dewi Sant ",493.5,500,512,487,451,435.5
"","","","5182067 - Ysgol Melyd ",141,141,140,145,140.5,128.5
"","","","5182070 - Bodfari C.P. School ",46,37,30,34.5,24.5,27
"","","","5182072 - Bryn Hedydd C.P. School ",444,444.5,447,448,448.5,444
"","","","5182079 - Bodnant Junior School ",".",".",".",".",".","."
"","","","5182098 - Ysgol Esgob Morgan ",107,".",".",".",".","."
"","","","5182124 - Ysgol Cefn Meiriadog ",70,63.5,61.5,68.5,59.5,60
"","","","5182125 - Ysgol Frongoch ",207,214,206,200,207,202
"","","","5182127 - Ysgol Gynradd Henllan ",60.5,57.5,48.5,56.5,63.5,61
"","","","5182133 - Gwaenynog Infants C.P. School ",".",".",".",".",".","."
"","","","5182134 - Twm O'r Nant ",269.5,274,282.5,288,288,280.5
"","","","5182135 - Ysgol Bryn Clwyd ",25,26.5,29,26,27.5,32
"","","","5182136 - Ysgol Y Parc Infants ",171,178.5,175.5,189,184,181.5
"","","","5182163 - Clocaenog C.P. School ",".",".",".",".",".","."
"","","","5182164 - Gellifor C.P. School ",90.5,80.5,71.5,58,52,44.5
"","","","5182165 - Ysgol Bro Famau - Graianrhyd Unit ",".",".",".",".",".","."
"","","","5182166 - Ysgol Cyffylliog ",".",".",".",".",".","."
"","","","5182167 - Ysgol Bro Famau - Llanarmon Unit ",".",".",".",".",".","."
