"","","","","2015-16 ","2016-17 ","2017-18 ","2018-19 ","2019-20 "
"","","","5402061 - Brynnau Primary School ",11.228955,45.71021,66.47003,30.810218,43.85848
"","","","5402062 - Blaenllechau Infant School ",".",".",".",".","."
"","","","5402066 - Coedpenmaen County Primary School ",13.133894,15.09936,40.79133,23.077839,1.25512
"","","","5402069 - Bodringallt Primary School ",51.316024,36.06386,51.24842,41.365974,51.35582
"","","","5402070 - Blaengwawr Primary School ",20.577451,22.12308,25.16413,61.384038,76.00623
"","","","5402072 - Coedylan Primary School ",35.244184,45.67427,79.59465,70.165293,51.54639
"","","","5402076 - Craig-Yr-Eos Infants School ",".",".",".",".","."
"","","","5402077 - Caegarw Primary School ",39.720734,33.96691,23.80046,23.29517,16.37534
"","","","5402079 - Cwmlai Primary School ",45.805537,19.05976,17.33683,8.144125,24.59308
"","","","5402080 - Cwmclydach Junior School ",".",".",".",".","."
"","","","5402083 - Dolau Primary School ",72.668531,54.83212,90.46328,49.851218,87.67592
"","","","5402084 - Capcoch Primary School ",16.288171,13.71807,-3.15927,0,-9.26126
"","","","5402087 - Gilfach Goch Infants School ",".",".",".",".","."
"","","","5402088 - Cwmclydach Infants School ",".",".",".",".","."
"","","","5402091 - Glanffrwd Infant School ",".",".",".",".","."
"","","","5402092 - Cymmer Junior School ",24.885428,0.00043,".",".","."
"","","","5402093 - Caradog Primary School ",70.668008,56.44006,83.9936,79.601051,46.48952
"","","","5402095 - Glantaf Infant School ",".",".",".",".","."
"","","","5402096 - Cymmer Infants School ",56.014069,0.00005,".",".","."
"","","","5402098 - Graig-Y-Wion Primary School ",".",".",".",".","."
"","","","5402099 - Dinas  Junior School ",".",".",".",".","."
"","","","5402100 - Carnetown Primary School ",".",".",".",".","."
"","","","5402102 - Ffynnon Taf Primary School ",11.245389,-0.22545,13.71382,18.460816,38.35976
"","","","5402104 - Hawthorn Primary School ",62.922571,48.55071,75.52681,38.99573,31.36692
"","","","5402107 - Comin Junior Mixed School ",".",".",".",".","."
"","","","5402110 - Hendreforgan Infants School ",".",".",".",".","."
"","","","5402112 - Darran Park Primary School ",76.300043,53.69492,90.60678,110.727318,108.81172
"","","","5402114 - Hendreforgan Junior School ",".",".",".",".","."
"","","","5402115 - Ferndale Infants School ",8.56944,0.00044,".",".","."
"","","","5402116 - Comin  Infants School ",".",".",".",".","."
"","","","5402118 - Llanilltud Faerdref Primary ",10.993785,17.07741,48.62175,61.010052,67.18636
"","","","5402119 - Gelli Primary School ",44.254396,27.094,48.60307,72.243997,65.74329
"","","","5402124 - Llantrisant Primary ",19.978137,25.92731,34.98503,34.286991,42.16681
"","","","5402125 - Cwmaman Infants School ",46.322125,42.10714,42.52051,0.000004,"."
"","","","5402127 - Hafod Primary School ",55.961504,28.8576,33.84836,26.116369,38.65228
"","","","5402130 - Maes-Y-Coed Primary School ",40.742654,37.73746,32.20854,38.069528,52.28424
"","","","5402131 - Cwmbach Infants School ",".",".",".",".","."
"","","","5402134 - Cwmdar County Primary School ",61.566403,34.61188,39.10126,33.290304,27.82026
"","","","5402137 - Parclewis Primary School ",85.977209,52.31298,69.08152,94.050964,15.13496
"","","","5402138 - Llwyncelyn Infants School ",23.638986,13.06586,-16.26055,0,"."
"","","","5402139 - Cynon Infants School ",".",".",".",".","."
"","","","5402142 - Llanharan Primary School ",38.566985,18.28244,26.16206,44.322222,33.4543
"","","","5402143 - Llwynypia Primary School ",19.586377,1.96751,24.71934,6.990988,1.05754
"","","","5402144 - Darrenlas Primary School ",32.734629,49.532,98.86828,91.655123,62.18106
"","","","5402150 - Penrhiwfer Infants School ",".",".",".",".","."
"","","","5402151 - Llanhari Primary School ",7.316174,18.47564,26.98421,16.149173,22.77379
"","","","5402152 - Maerdy Junior School ",".",".",".",".","."
"","","","5402156 - Maerdy Infants School ",".",".",".",".","."
"","","","5402157 - Glynhafod Junior School ",38.857072,23.67309,51.1381,0,"."
"","","","5402160 - Pontyclun Primary School ",81.076494,35.38101,22.23395,41.851436,21.17676
"","","","5402161 - Parc Primary School ",45.546761,41.15904,65.91875,66.961467,48.77055
"","","","5402167 - Rhigos Primary School ",24.785509,21.95722,23.3586,43.63933,54.32289
"","","","5402168 - Tonyrefail Primary School ",93.01847,51.60472,10.16271,0.000202,"."
"","","","5402169 - Pentre Primary School ",0.000285,".",".",".","."
"","","","5402170 - Hirwaun Primary School ",110.282083,108.16104,98.92724,59.235121,89.16467
"","","","5402174 - Nantgarw Infants School ",".",".",".",".","."
"","","","5402176 - Penygraig Junior School ",41.43691,26.24855,58.139,0.000075,"."
"","","","5402179 - Penygraig Infants School ",35.342868,43.77445,37.26341,0,"."
"","","","5402180 - Llwydcoed Primary ",9.871404,-1.23396,10.4335,23.634017,10.4805
"","","","5402182 - Trallwng Infants School ",63.816331,49.79874,42.07195,26.257613,20.13434
"","","","5402183 - Penyrenglyn Junior  School ",".",".",".",".","."
"","","","5402184 - Newtown Primary School ",".",".",".",".","."
"","","","5402186 - Trefforest Primary School ",".",".",".",".","."
"","","","5402191 - Penyrenglyn Infant School ",".",".",".",".","."
"","","","5402192 - Pengeulan Primary School ",55.538972,55.53959,46.31637,37.531029,51.91087
"","","","5402196 - Pontrhondda Primary School ",37.873411,17.77914,36.9041,46.3254,42.64716
"","","","5402199 - Trehopcyn Primary School ",64.051243,36.78361,82.51496,83.826699,93.8979
"","","","5402200 - Pontygwaith Primary School ",27.339863,22.10067,27.81165,18.642378,28.06237
"","","","5402201 - Penrhiwceibr Junior School ",".",".",".",".","."
"","","","5402206 - Trerobart Primary School ",52.39865,-5.66553,19.49214,39.902183,0.28746
"","","","5402208 - Penrhiwceibr Infants School ",".",".",".",".","."
"","","","5402211 - Porth Infants School ",-0.118975,11.94905,14.12789,0,"."
"","","","5402212 - Penywaun Infants School ",".",".",".",".","."
"","","","5402216 - Y.G.G. Pont Sion Norton ",38.300958,16.89528,52.43561,40.837774,74.28199
"","","","5402218 - Perthcelyn Community Primary School ",16.564088,10.81794,21.86424,20.722337,24.23944
"","","","5402221 - Heol Y Celyn Primary School ",27.027571,25.30508,56.84255,118.409168,54.84881
"","","","5402222 - Ton Pentre Junior  School ",100.554199,48.7998,62.1555,32.841872,16.20227
"","","","5402223 - Ynysboeth Junior School ",".",".",".",".","."
"","","","5402225 - Craig Yr Hesg Primary School ",104.222152,72.19534,82.44728,50.795265,9.87437
"","","","5402226 - Ynysboeth Infant School ",".",".",".",".","."
"","","","5402228 - Llwyncrwn Primary School ",35.675611,-23.50118,32.1973,17.993292,35.76256
"","","","5402229 - Ton Pentre Infants School ",7.477099,6.76574,9.76813,23.499433,8.83564
"","","","5402230 - Penywaun Junior School ",".",".",".",".","."
"","","","5402234 - Tonypandy Primary School ",7.809394,10.02821,-5.15967,0.000204,"."
"","","","5402235 - Ysgol G.G. Aberdar ",14.982305,13.07862,47.21793,28.280208,27.32752
"","","","5402238 - Gwauncelyn Infants School ",".",".",".",".","."
"","","","5402240 - Cwmbach Junior School ",".",".",".",".","."
"","","","5402242 - Gwauncelyn Junior School ",".",".",".",".","."
"","","","5402243 - Trealaw Primary School ",46.92969,40.46684,43.27553,35.755357,18.12777
"","","","5402244 - Glenboi Primary School ",34.950667,33.07908,33.17689,24.763189,31.96073
"","","","5402247 - Cefn Primary School ",30.656695,36.42116,102.12211,71.866986,13.27312
"","","","5402248 - Treherbert Infants ",".",".",".",".","."
"","","","5402250 - Ysgol Gymraeg Garth Olwg ",25.268914,40.11478,53.61182,28.447724,0
"","","","5402251 - Treorchy Primary School ",-1.642792,-17.37457,32.88726,12.569261,-10.29703
"","","","5402257 - Gwaunmeisgyn Junior School ",".",".",".",".","."
"","","","5402258 - Williamstown Primary School ",65.080252,12.94025,24.95284,8.527197,-0.7198
"","","","5402260 - Gwaunmeisgyn Infants School ",".",".",".",".","."
"","","","5402263 - Maesybryn Primary School ",-7.571598,-34.68866,-36.07132,-21.981001,-75.94209
"","","","5402264 - Tylorstown Primary School ",47.12643,35.48834,46.83665,51.115948,27.93298
"","","","5402269 - Tref-y-Rhyg Primary School ",39.49009,17.95057,17.62632,52.038497,34.82395
"","","","5402272 - Ysgol G.G. Tonyrefail ",33.044669,16.26307,33.75317,44.091869,39.46832
"","","","5402276 - Penygawsi Primary School ",34.407442,13.84189,7.38241,18.749433,1.15424
"","","","5402277 - Ynyshir Infants School ",".",".",".",".","."
"","","","5402281 - Ynyswen Infant School ",".",".",".",".","."
"","","","5402284 - Ysgol G. G. Llwyncelyn ",76.935244,22.0312,20.99067,32.553322,34.4936
"","","","5402287 - Ysgol G.G. Ynyswen ",62.813527,26.19514,44.75533,50.619228,70.9661
"","","","5402289 - Rhiwgarn Infant School ",".",".",".",".","."
"","","","5402291 - Penrhys Infant School ",".",".",".",".","."
"","","","5402293 - Penrhys Junior School ",".",".",".",".","."
"","","","5402295 - Porth Junior  School ",43.09669,38.30788,43.60813,0,"."
"","","","5402306 - Tonysguboriau Primary School ",27.845956,0.87635,33.89951,29.618597,17.73613
"","","","5402345 - Ynyshir Junior School ",".",".",".",".","."
"","","","5402351 - YGGG Llantrisant ",58.806516,50.75606,61.39935,20.801004,13.37058
"","","","5402356 - Ysgol G.G. Bodringallt ",75.312313,62.03114,74.17961,56.397059,90.53099
"","","","5402359 - Ysgol G.G. Castellau ",5.255161,17.28954,18.51103,23.689731,10.11139
"","","","5402361 - Ysgol G.G. Llyn y Forwyn ",26.0165,0.72538,12.03622,25.300846,48.97933
"","","","5402362 - Ysgol G.G. Evan James ",-4.728503,42.30688,83.72516,81.531594,39.71536
"","","","5402364 - Ysgol Gymraeg Abercynon ",92.998753,70.94794,51.29338,10.536638,5.20061
"","","","5402365 - Ysgol G.G. Bronllwyn ",52.285888,35.751,46.53828,49.946048,57.07366
"","","","5402367 - Miskin Primary School ",25.468599,31.40446,57.73634,47.507831,23.23608
"","","","5402369 - Penpych Community Primary School ",12.146844,10.53797,15.9431,36.337336,12.60831
"","","","5402370 - Hendreforgan Community Primary School ",47.72966,27.29302,23.03306,60.202376,59.72277
"","","","5402371 - Penyrenglyn Primary School ",-25.059626,-9.71861,32.289,47.658444,21.45659
"","","","5402372 - Penywaun Primary School ",22.566464,-18.14801,22.97285,16.968823,11.28841
"","","","5402373 - Penrhys Primary School ",105.618555,85.27244,49.64488,58.416018,62.31832
"","","","5402374 - Gwaunmeisgyn Primary School ",44.203796,28.02206,50.94109,57.917847,61.3338
"","","","5402375 - Gwauncelyn Primary ",29.054133,11.63188,23.97316,21.629865,3.83292
"","","","5402376 - Penrhiwceibr Primary ",-4.0051,14.33236,3.45089,2.744119,13.47527
"","","","5402377 - Ysgol Yr Eos ",41.305003,52.64255,45.01585,0,"."
"","","","5402378 - Ynyshir Primary School ",63.892415,14.76973,39.62924,49.246716,0.86381
"","","","5402380 - Cwmclydach Primary ",8.317928,102.92477,104.27751,81.055303,59.00445
"","","","5402381 - Aberdare Park Primary ",85.107543,51.66789,104.01031,66.410448,50.38814
"","","","5402382 - Maerdy Community Primary School ",24.798904,-7.22089,76.62697,68.966266,65.07043
"","","","5402383 - Cwmbach Community Primary School ",67.641319,19.16624,30.33155,24.209844,8.05389
"","","","5402384 - Ynysboeth Community Primary School ",30.233115,40.01033,15.96299,19.808071,27.16435
"","","","5402385 - Abercynon Community Primary School ",46.732148,33.50063,57.62703,29.200464,-7.33217
"","","","5402386 - Cymmer Primary School ",".",59.96517,65.47991,64.274877,33.11749
"","","","5402387 - Cwmaman Primary ",".",".",".",83.35974,47.78422
"","","","5403309 - Our Lady's R.C. Primary School ",54.309575,41.32208,65.03795,53.889661,48.23993
"","","","5403312 - St Michael's R.C. Primary School ",69.808539,32.37018,50.53267,7.022675,-48.73351
"","","","5403313 - S.S. Gabriel & Raphael R.C. Primary School ",5.351207,-1.43036,9.68696,14.118062,12.0587
"","","","5403314 - St Margaret's R.C. Primary School ",14.822107,-1.72251,1.861,19.27275,30.08297
"","","","5403317 - Aberdare Town C.I.W. Primary School ",55.132403,25.85513,42.65465,42.311656,42.15432
"","","","5403319 - Cwmbach C.I.W. Primary School ",9.014235,-1.83252,2.22846,22.99853,22.53666
"","","","5409999 - Dinas/ Craig yr eos ",".",".",".",".","."
"","","Rhondda Cynon Taf - Secondary ","",-1272.051,-1310.701,-1628.44394,-1729.05686,-1190.53617
"","","Rhondda Cynon Taf - Secondary ","5404019 - Bryncelynnog Comprehensive School ",202.654,204.171,215.47413,367.25348,546.49405
"","","","5404022 - Pontypridd High School ",-444.478,-598.675,-573.49116,-575.59272,-432.16317
"","","","5404027 - Hawthorn High School ",-207.655,-307.864,-400.03228,-358.26085,-338.7627
"","","","5404053 - Mountain Ash Comprehensive School ",40.836,-60.497,-132.25603,-457.93269,-445.01616
"","","","5404054 - Ysgol Gyfun Garth Olwg ",15.656,88.484,46.85884,-245.15422,0.00061
"","","","5404056 - Blaengwawr Comprehensive School ",".",".",".",".","."
"","","","5404057 - Tonyrefail Comprehensive School ",25.645,-72.074,-271.84035,0.00038,"."
"","","","5404081 - Treorchy Comprehensive School ",400.909,306.86,283.59119,272.42876,296.81623
"","","","5404083 - Ferndale Community School ",-134.167,24.423,257.32729,264.45707,154.17012
"","","","5404087 - Porth County Community School ",-379.197,-369.344,-307.85666,-0.00006,"."
"","","","5404088 - Ysgol Gyfun Llanhari ",".",".",".",".","."
"","","","5404095 - Tonypandy Community College ",92.242,389.713,-36.70065,-0.00023,"."
"","","","5404096 - Y Pant Comprehensive School ",0.538,-130.394,-29.41293,116.12559,118.06651
"","","","5404097 - Ysgol Gyfun Cymer Rhondda ",-338.808,-458.715,-550.8228,-599.14961,-647.08092
"","","","5404100 - Aberdare High School ",".",".",".",".","."
"","","","5404101 - Aberdare Girls' Comprehensive School ",".",".",".",".","."
"","","","5404105 - Ysgol Gyfun Rhydywaun ",-211.354,-113.624,17.81409,110.38756,102.64576
"","","","5404106 - Aberdare Community School ",170.683,134.149,135.61116,-48.67835,-69.43275
"","","","5404602 - Cardinal Newman R.C. Comprehensive ",-258.617,-252.046,-394.10607,-667.82738,-632.25586
"","","","5404604 - St John Baptist C.I.W. High School ",-246.938,-95.268,111.39829,92.88641,155.98211
"","","Rhondda Cynon Taf - Middle ","",453.89371,480.15084,407.43,693.72454,314.719
"","","Rhondda Cynon Taf - Middle ","5405500 - Ysgol Llanhari ",453.89371,480.15084,407.43,300.72157,321.805
"","","","5405501 - Porth Community School ",".",".",".",144.69292,-33.185
"","","","5405502 - Ysgol Nantgwyn ",".",".",".",188.37029,148.689
"","","","5405503 - Tonyrefail Community School ",".",".",".",59.93976,-161.305
"","","","5405504 - Establish WM, community, 3-19 Middle school on Garth Olwg site ",".",".",".",".",38.715
"","","Rhondda Cynon Taf - Special ","",269.692,146.09,453.51889,337.81269,320.95389
"","","Rhondda Cynon Taf - Special ","5407006 - Maesgwyn Special School ",210.968,251.251,352.47315,159.31146,158.46369
"","","","5407008 - Park Lane Special School ",114.308,16.624,31.32225,19.4566,-5.43895
"","","","5407011 - Ysgol Hen Felin ",-99.895,-123.405,-11.56521,78.28213,87.06581
"","","","5407015 - Ysgol Ty Coch ",44.311,1.62,81.2887,80.7625,80.86334
"","Merthyr Tydfil ","","",775.60726,956.25236,1846.2881,1761.86683,1549.49135
"","Merthyr Tydfil ","Merthyr Tydfil - Nursery ","",68.77094,17.42632,36.80791,0,"."
"","","Merthyr Tydfil - Nursery ","5421001 - Ynysowen Nursery School ",".",".",".",".","."
"","","","5421002 - Trefechan Nursery School ",".",".",".",".","."
"","","","5421016 - Gilfach Fargoed Nursery School ",".",".",".",".","."
"","","","5421026 - Treharris Nursery School ",".",".",".",".","."
"","","","5421027 - Gurnos Nursery School ",68.77094,17.42632,36.80791,0,"."
"","","Merthyr Tydfil - Primary ","",757.45683,854.88969,1258.98768,1247.73831,1040.9275
"","","Merthyr Tydfil - Primary ","5422000 - Abercanaid Community School ",4.90001,8.51612,16.82438,27.42333,55.9196
"","","","5422002 - Cyfarthfa Junior School ",23.19376,25.98379,50.41057,93.59053,75.6169
"","","","5422005 - Brecon Road Infants School ",".",".",".",".","."
"","","","5422006 - Caedraw Primary School ",12.77887,21.22977,31.19105,23.06147,56.9187
"","","","5422008 - Dowlais Infants School ",".",".",".",".","."
"","","","5422010 - Gellifaelog Primary School ",83.82511,33.52027,55.10665,89.6541,54.75
"","","","5422014 - Mount Pleasant Primary School ",".",".",".",".","."
"","","","5422015 - Pantysgallog Primary School ",41.50686,22.70149,40.42134,38.7763,46.1935
"","","","5422019 - Pentrebach Infants School ",".",".",".",".","."
"","","","5422020 - Gwaunfarren Primary School ",27.15025,34.99323,70.50898,27.37606,26.1919
"","","","5422022 - Heolgerrig Community School ",53.42863,30.55053,56.6701,37.23033,24.5024
"","","","5422027 - Troedyrhiw Junior School ",".",".",".",".","."
"","","","5422028 - Troedyrhiw Infant School ",".",".",".",".","."
"","","","5422029 - Twynyrodyn Junior School ",".",".",".",".","."
"","","","5422030 - Twynyrodyn Infants School ",".",".",".",".","."
"","","","5422033 - Gellideg Junior School ",".",".",".",".","."
"","","","5422034 - Gellideg Infants School ",".",".",".",".","."
"","","","5422035 - Goetre Junior School ",".",".",".",".","."
"","","","5422036 - Goetre Infants School ",".",".",".",".","."
"","","","5422037 - Gwernllwyn Junior School ",".",".",".",".","."
"","","","5422039 - Ynysowen Community Primary School ",39.78539,36.71676,46.78275,33.06995,135.3605
"","","","5422040 - Edwardsville Junior School ",".",".",".",".","."
"","","","5422042 - Ysgol Gynradd Gymraeg Santes Tudful ",77.57507,51.28395,46.02739,75.84651,67.1522
"","","","5422054 - Bedlinog Community Primary School ",23.97209,18.93401,12.88972,16.96933,24.3669
"","","","5422054.1 - Bedlinog Junior School (first part of year only) ",".",".",".",".","."
"","","","5422058 - Bedlinog Infants School (first part of year only) ",".",".",".",".","."
"","","","5422132 - Graig Bedlinog Infants School (first part of year only) ",".",".",".",".","."
